BACKFILL cmu1exuaz0053f6221nqbmr1c 5200000 | memo="Backfill sổ cũ · đơn ORD--CS2--22-5" | sach=BACKFILLSOCUDONORDCS2225 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exuaw0052f622euspcwvn(ORDCS2225D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exubi005df6227pepmjyt 4800000 | memo="Backfill sổ cũ · đơn ORD--CS2--19-8" | sach=BACKFILLSOCUDONORDCS2198 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exubf005cf622ax9ti1a5(ORDCS2198D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exub60057f622nb70xldq 2200000 | memo="Backfill sổ cũ · đơn ORD--CS1--16-7" | sach=BACKFILLSOCUDONORDCS1167 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exub40056f6223zhzrst1(ORDCS1167D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exubb005af62269jn62fq 4400000 | memo="Backfill sổ cũ · đơn ORD--CS2--21-2" | sach=BACKFILLSOCUDONORDCS2212 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exub90059f62222md9ljs(ORDCS2212D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exubv005kf622pyjoggpi 4800000 | memo="Backfill sổ cũ · đơn ORD--CS2--19-4" | sach=BACKFILLSOCUDONORDCS2194 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exubr005jf6224kg9htra(ORDCS2194D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exubp005hf622xa452ugp 2640000 | memo="Backfill sổ cũ · đơn ORD--CS1--16-4" | sach=BACKFILLSOCUDONORDCS1164 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exubm005gf622u9f6xkz2(ORDCS1164D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exuc2005nf622owpl01lp 5200000 | memo="Backfill sổ cũ · đơn ORD--CS2--22-7" | sach=BACKFILLSOCUDONORDCS2227 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exubz005mf622rc2kvalp(ORDCS2227D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exuc8005qf6220zs1grm5 4940000 | memo="Backfill sổ cũ · đơn ORD--CS1--26-8" | sach=BACKFILLSOCUDONORDCS1268 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exuc5005pf622noapt5l4(ORDCS1268D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exucg005uf6220e8612gf 5200000 | memo="Backfill sổ cũ · đơn ORD--CS1--26-2" | sach=BACKFILLSOCUDONORDCS1262 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exucd005tf622wlu9qi4w(ORDCS1262D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exucl005xf622owin4wm9 4180000 | memo="Backfill sổ cũ · đơn ORD--CS1--23-1" | sach=BACKFILLSOCUDONORDCS1231 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exuci005wf622grmgzf0j(ORDCS1231D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exucz0064f622ngd8fvjq 4400000 | memo="Backfill sổ cũ · đơn ORD--CS1--16-2" | sach=BACKFILLSOCUDONORDCS1162 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exucw0063f622jmligk33(ORDCS1162D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exud40067f622tvt046jb 4180000 | memo="Backfill sổ cũ · đơn ORD--CS1--23-5" | sach=BACKFILLSOCUDONORDCS1235 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exud10066f6220tz9fcov(ORDCS1235D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exudc006af6228259uxqf 4320000 | memo="Backfill sổ cũ · đơn ORD--CS2--19-5" | sach=BACKFILLSOCUDONORDCS2195 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exud90069f622jdacqjn7(ORDCS2195D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exuct0061f622wp0x278b 4680000 | memo="Backfill sổ cũ · đơn ORD--CS1--26-1" | sach=BACKFILLSOCUDONORDCS1261 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exucp0060f622femj3drs(ORDCS1261D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exudp006hf622b2jeeaw1 5200000 | memo="Backfill sổ cũ · đơn ORD--CS2--22-1" | sach=BACKFILLSOCUDONORDCS2221 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exudl006gf622is0i80pf(ORDCS2221D0)] | KHAC(parser bỏ sót)
